Product Name,Description,Type of Product,Standard Rate,Reverse Charge Amount,GST Tax
Fresh Apples,Organically grown red apples,Fresh Produce,10,0,2
Samsung Galaxy S22,High-end smartphone with a stunning display,Electronics,18,50,5
LEGO Star Wars Set 75252,Millennium Falcon,Games and Toys,12,35,5
Organic Strawberries,Sweet and juicy strawberries,Fresh Produce,10,0,2
Sony 65" 4K UHD Smart TV,Crystal-clear picture quality,Electronics,18,0,5
Board Game Settlers of Catan,Popular strategy board game,Games and Toys,12,30,5
Fresh Bananas,Sun-ripened bananas perfect for snacking,Fresh Produce,10,0,2
Apple MacBook Pro 15",Powerful laptop for productivity and creativity,Electronics,18,0,5
LEGO Architecture Skyline Collection,Iconic city skyline models,Games and Toys,12,0,5
Grapes,Plump and juicy grapes, Fresh Produce,10,0,2
Samsung 55" QLED 4K Smart TV,Cutting-edge QLED technology,Electronics,18,0,5
Puzzle Game Escape Room in a Box,Challenge your mind with puzzle-solving,Games and Toys,12,0,5
Organic Tomatoes,Vine-ripened organic tomatoes, Fresh Produce,10,0,2
Apple iPhone 13 Pro,The ultimate smartphone for professionals,Electronics,18,40,5
Nintendo Switch,Portable gaming console for all ages,Games and Toys,12,0,5
Cucumbers,Crisp and refreshing cucumbers, Fresh Produce,10,0,2
Dell XPS 13,Compact laptop with stunning InfinityEdge display,Electronics,18,0,5
LEGO Technic Bugatti Chiron,Ultimate building experience for car enthusiasts,Games and Toys,12,0,5
Strawberries,Sweet and succulent strawberries, Fresh Produce,10,0,2
Sony PlayStation 5,Next-gen gaming console for immersive gameplay,Electronics,18,0,5
Chess Set,Luxury wooden chess set,Games and Toys,12,0,5
Watermelons,Juicy and refreshing watermelons, Fresh Produce,10,0,2
Bose QuietComfort 35 II,Wireless noise-canceling headphones,Electronics,18,0,5
Card Game Uno,Classic card game for family fun,Games and Toys,12,0,5
